WEEK,Race,Education,Maritial_Status,Gender,Num_Household,THHLD_NUMKID,Work_Loss,ANYWORK,Food_Sufficiency_Last7Days,ANXIOUS,INTEREST,Depressed_Last2Weeks,Mental_Prescription,Health_Insurance,SEEING,HEARING,REMEMBERING,MOBILITY,Housing,RENTCUR,MORTCUR,MORTCONF,TMNTHSBHND,RENTASSIST,EVICT,FORCLOSE,ENRGY_BILL,INCOME,Income2,EXPNS_DIF
Dec 29 - Jan 10,White,3,1,Male,4,2,1,2,3,4,4,4,1,2,2,1,3,2,3,1,NA,2,NA,1,NA,NA,1,"Less than $25,000",1,Very difficult
Dec 29 - Jan 10,White,5,2,Female,1,0,2,2,1,1,1,1,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,4,"$25,000 - $34,999",2,No difficulty
Dec 29 - Jan 10,White,7,1,Male,2,0,2,1,1,1,1,1,2,1,1,2,2,1,2,NA,1,4,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
Dec 29 - Jan 10,Black,3,5,Male,2,1,2,1,1,1,1,1,2,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,4,"$35,000 - $49,999",3,No difficulty
Dec 29 - Jan 10,White,7,1,Female,2,0,2,1,1,4,3,3,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
Dec 29 - Jan 10,White,4,3,Male,1,0,2,2,1,2,2,2,2,1,2,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,4,"$35,000 - $49,999",3,No difficulty
Dec 29 - Jan 10,Black,4,1,Female,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very difficult
Dec 29 - Jan 10,White,6,3,Female,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,"$25,000 - $34,999",2,No difficulty
Dec 29 - Jan 10,White,4,1,Female,3,1,2,2,3,4,4,3,2,1,1,1,2,1,3,1,NA,2,NA,4,NA,NA,2,"Less than $25,000",1,Very difficult
Dec 29 - Jan 10,White,4,1,Male,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dec 29 - Jan 10,Black,6,5,Female,1,0,2,1,1,2,2,1,2,1,1,1,1,1,3,1,NA,4,NA,4,NA,NA,4,"$50,000 - $74,999",4,Little difficulty
Dec 29 - Jan 10,White,3,1,Male,2,0,2,1,1,1,1,1,2,1,2,1,1,2,2,NA,1,4,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
Dec 29 - Jan 10,White,7,5,Female,2,0,2,1,1,1,1,1,2,1,1,1,1,1,2,NA,1,4,NA,NA,NA,NA,4,"$150,000 - $199,999",7,No difficulty
Dec 29 - Jan 10,White,7,1,Female,4,1,2,1,1,1,1,1,2,1,1,2,2,1,2,NA,1,4,NA,NA,NA,NA,4,"$150,000 - $199,999",7,No difficulty
Dec 29 - Jan 10,White,7,3,Male,1,0,2,2,1,1,1,1,2,1,2,1,1,1,3,1,NA,4,NA,4,NA,NA,4,"$75,000 - $99,999",5,No difficulty
Dec 29 - Jan 10,White,7,1,Female,4,1,2,1,1,1,1,1,2,1,1,1,1,1,2,NA,1,4,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
Dec 29 - Jan 10,White,6,1,Female,2,0,2,2,1,1,1,1,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,"$75,000 - $99,999",5,No difficulty
Dec 29 - Jan 10,White,7,2,Female,1,0,2,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,4,NA,NA,NA,NA,4,"$200,000 and above",8,No difficulty
Dec 29 - Jan 10,White,3,3,Female,2,0,2,2,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,"Less than $25,000",1,No difficulty
Dec 29 - Jan 10,White,7,1,Female,4,2,2,1,1,1,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,"$150,000 - $199,999",7,No difficulty
Dec 29 - Jan 10,White,6,1,Male,2,0,2,1,1,2,1,1,2,1,1,1,1,1,2,NA,1,4,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
Dec 29 - Jan 10,White,3,1,Female,3,1,2,1,2,2,2,3,2,2,1,1,1,1,3,1,NA,4,NA,4,NA,NA,2,"$25,000 - $34,999",2,Somewhat difficult
Dec 29 - Jan 10,Black,4,1,Female,3,0,2,2,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No difficulty
Dec 29 - Jan 10,White,6,1,Male,2,0,2,1,1,1,1,1,2,1,1,1,2,1,2,NA,1,4,NA,NA,NA,NA,4,"$50,000 - $74,999",4,No difficulty
Dec 29 - Jan 10,Black,3,2,Trans (and others),4,1,2,1,2,1,1,1,2,2,2,1,2,4,2,NA,1,4,NA,NA,NA,NA,4,"Less than $25,000",1,Somewhat difficult
Dec 29 - Jan 10,White,4,1,Female,3,1,1,1,1,3,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,"$100,000 - $149,999",6,No difficulty
